oracle    | moderate   | tail_difficulty    | 64/100 | selected=230 | p_mult=0.25
oracle    | moderate   | tail_difficulty    | 65/100 | selected=258 | p_mult=0.4325
oracle    | moderate   | tail_difficulty    | 66/100 | selected=219 | p_mult=0.0925
oracle    | moderate   | tail_difficulty    | 67/100 | selected=246 | p_mult=0.8125
oracle    | moderate   | tail_difficulty    | 68/100 | selected=264 | p_mult=0.485
oracle    | moderate   | tail_difficulty    | 69/100 | selected=235 | p_mult=0.77
oracle    | moderate   | tail_difficulty    | 70/100 | selected=243 | p_mult=0.5675
oracle    | moderate   | tail_difficulty    | 71/100 | selected=219 | p_mult=0.37
oracle    | moderate   | tail_difficulty    | 72/100 | selected=238 | p_mult=0.3475
oracle    | moderate   | tail_difficulty    | 73/100 | selected=224 | p_mult=0.5675
oracle    | moderate   | tail_difficulty    | 74/100 | selected=242 | p_mult=0.13
oracle    | moderate   | tail_difficulty    | 75/100 | selected=222 | p_mult=0.49
oracle    | moderate   | tail_difficulty    | 76/100 | selected=254 | p_mult=0.835
oracle    | moderate   | tail_difficulty    | 77/100 | selected=265 | p_mult=0.5975
oracle    | moderate   | tail_difficulty    | 78/100 | selected=213 | p_mult=0.075
oracle    | moderate   | tail_difficulty    | 79/100 | selected=240 | p_mult=0.3625
oracle    | moderate   | tail_difficulty    | 80/100 | selected=223 | p_mult=0.93
oracle    | moderate   | tail_difficulty    | 81/100 | selected=251 | p_mult=0.44
oracle    | moderate   | tail_difficulty    | 82/100 | selected=240 | p_mult=0.465
oracle    | moderate   | tail_difficulty    | 83/100 | selected=245 | p_mult=0.105
oracle    | moderate   | tail_difficulty    | 84/100 | selected=241 | p_mult=0.4575
oracle    | moderate   | tail_difficulty    | 85/100 | selected=215 | p_mult=0.9375
oracle    | moderate   | tail_difficulty    | 86/100 | selected=236 | p_mult=0.2675
oracle    | moderate   | tail_difficulty    | 87/100 | selected=234 | p_mult=0.825
oracle    | moderate   | tail_difficulty    | 88/100 | selected=237 | p_mult=0.3975
oracle    | moderate   | tail_difficulty    | 89/100 | selected=255 | p_mult=0.6175
oracle    | moderate   | tail_difficulty    | 90/100 | selected=243 | p_mult=0.32
oracle    | moderate   | tail_difficulty    | 91/100 | selected=249 | p_mult=0.5175
