example_rank,knot_a,knot_b,same_HOMFLY_PT_exact,kh_diagonal_a,kh_diagonal_b,kh_diagonal_abs_difference,kh_support_a,kh_support_b,theta_percentile_a,theta_percentile_b,theta_percentile_abs_difference,four_view_aggregate_a,four_view_aggregate_b,four_view_aggregate_abs_difference,four_view_selected_a,four_view_selected_b,four_view_split_pair,pair_aggregate_a,pair_aggregate_b,pair_selected_a,pair_selected_b,alternating_a,alternating_b,crossing_a,crossing_b,Alexander_percentile_a,Alexander_percentile_b,Jones_percentile_a,Jones_percentile_b,HOMFLY_PT_percentile_a,HOMFLY_PT_percentile_b,Theta_percentile_a,Theta_percentile_b
35,14n21564,15n067422,True,2.0,3.0,1.0,24.0,30.0,0.3494093859742471,0.2525912525274024,0.0968181334468447,0.2601787804618495,0.2525912525274024,0.007587527934447114,False,False,False,0.009949984037458764,0.009949984037458764,False,False,0,0,14,15,0.2601787804618495,0.2601787804618495,0.9385974247100138,0.9385974247100138,0.009949984037458764,0.009949984037458764,0.3494093859742471,0.2525912525274024
36,12n825,13n2557,True,2.0,3.0,1.0,20.0,22.0,0.20777907842928595,0.29167819516867083,0.08389911673938488,0.20777907842928595,0.29167819516867083,0.08389911673938488,False,False,False,0.1446631903799085,0.1446631903799085,False,False,0,0,12,13,0.32046397786527614,0.32046397786527614,0.6042141108864532,0.6042141108864532,0.1446631903799085,0.1446631903799085,0.20777907842928595,0.29167819516867083
37,13n2124,14n18414,True,2.0,3.0,1.0,20.0,23.0,0.42959455145259123,0.36768117484303503,0.0619133766095562,0.21228051505799722,0.21228051505799722,0.0,False,False,False,0.03328721932531659,0.03328721932531659,False,False,0,0,13,14,0.21228051505799722,0.21228051505799722,0.7266148770884325,0.7266148770884325,0.03328721932531659,0.03328721932531659,0.42959455145259123,0.36768117484303503
38,15n157466,15n066010,True,2.0,3.0,1.0,24.0,30.0,0.9320634244971799,0.8771629243375545,0.05490050015962544,0.4915185697563052,0.4915185697563052,0.0,False,False,False,0.6004043843779929,0.6004043843779929,False,False,0,0,15,15,0.1762477386399915,0.1762477386399915,0.4915185697563052,0.4915185697563052,0.6004043843779929,0.6004043843779929,0.9320634244971799,0.8771629243375545
39,15n056629,15n088084,True,2.0,3.0,1.0,22.0,30.0,0.029200808768755988,0.08144088538895392,0.05224007662019793,0.03488347344897308,0.07803554325848674,0.043152069809513666,False,False,False,0.029200808768755988,0.07803554325848674,False,False,0,0,15,15,0.03488347344897308,0.03488347344897308,0.6735021815473023,0.6735021815473023,0.07803554325848674,0.07803554325848674,0.029200808768755988,0.08144088538895392
40,13n0649,15n095708,True,2.0,3.0,1.0,20.0,22.0,0.19541342981802703,0.24204533361711184,0.0466319037990848,0.19541342981802703,0.24204533361711184,0.0466319037990848,False,False,False,0.19541342981802703,0.24204533361711184,False,False,0,0,13,15,0.1688517612003831,0.1688517612003831,0.3660636373310631,0.3660636373310631,0.4530275619878685,0.4530275619878685,0.19541342981802703,0.24204533361711184
41,14n12866,15n005762,True,2.0,3.0,1.0,24.0,26.0,0.08616579759497713,0.04122592316696818,0.044939874428008945,0.13440459721187614,0.13440459721187614,0.0,False,False,False,0.08616579759497713,0.04122592316696818,False,False,0,0,14,15,0.5746621262104927,0.5746621262104927,0.4537831222730659,0.4537831222730659,0.13440459721187614,0.13440459721187614,0.08616579759497713,0.04122592316696818
42,15n064120,15n076038,True,2.0,3.0,1.0,24.0,27.0,0.24623816111524954,0.2895924231137597,0.04335426199851017,0.07248057890816217,0.07248057890816217,0.0,False,False,False,0.07248057890816217,0.07248057890816217,False,False,0,0,15,15,0.04733425561349367,0.04733425561349367,0.9782483771416409,0.9782483771416409,0.07248057890816217,0.07248057890816217,0.24623816111524954,0.2895924231137597
43,13n3184,14n11896,True,2.0,3.0,1.0,22.0,25.0,0.3792593380866234,0.3383420240502288,0.04091731403639459,0.22790252208151537,0.22790252208151537,0.0,False,False,False,0.22790252208151537,0.22790252208151537,False,False,0,0,13,14,0.08014259870171331,0.08014259870171331,0.6800148983718208,0.6800148983718208,0.22790252208151537,0.22790252208151537,0.3792593380866234,0.3383420240502288
44,14n16199,15n104989,True,2.0,3.0,1.0,22.0,26.0,0.079163562839204,0.11487708843247844,0.03571352559327444,0.079163562839204,0.11487708843247844,0.03571352559327444,False,False,False,0.01262104927104395,0.01262104927104395,False,False,0,0,14,15,0.12380546983079706,0.12380546983079706,0.3838565499627541,0.3838565499627541,0.01262104927104395,0.01262104927104395,0.079163562839204,0.11487708843247844
45,15n085940,15n115775,True,2.0,3.0,1.0,22.0,26.0,0.5145152708311164,0.4807811003511759,0.033734170479940484,0.25631584548260083,0.25631584548260083,0.0,False,False,False,0.25631584548260083,0.25631584548260083,False,False,0,0,15,15,0.1857188464403533,0.1857188464403533,0.7705863573480898,0.7705863573480898,0.25631584548260083,0.25631584548260083,0.5145152708311164,0.4807811003511759
46,15n093781,15n088840,True,2.0,3.0,1.0,24.0,28.0,0.8746408428221772,0.9069383845908269,0.03229754176864963,0.2528147281047143,0.2528147281047143,0.0,False,False,False,0.12765776311588806,0.12765776311588806,False,False,0,0,15,15,0.2813025433649037,0.2813025433649037,0.2528147281047143,0.2528147281047143,0.12765776311588806,0.12765776311588806,0.8746408428221772,0.9069383845908269
