assignment,knot_id_base
random_seed_20260830,15n041009
random_seed_20260830,15n041132
random_seed_20260830,15n041228
random_seed_20260830,15n043147
random_seed_20260830,15n043357
random_seed_20260830,15n043686
random_seed_20260830,15n045111
random_seed_20260830,15n045151
random_seed_20260830,15n045196
random_seed_20260830,15n045218
random_seed_20260830,15n045328
random_seed_20260830,15n045465
random_seed_20260830,15n045707
random_seed_20260830,15n046450
random_seed_20260830,15n046470
random_seed_20260830,15n046475
random_seed_20260830,15n046508
random_seed_20260830,15n046825
random_seed_20260830,15n047893
random_seed_20260830,15n048057
random_seed_20260830,15n048979
random_seed_20260830,15n050268
random_seed_20260830,15n052191
random_seed_20260830,15n052211
random_seed_20260830,15n052312
random_seed_20260830,15n053717
random_seed_20260830,15n053776
random_seed_20260830,15n054047
random_seed_20260830,15n054115
random_seed_20260830,15n054809
random_seed_20260830,15n055065
random_seed_20260830,15n055108
random_seed_20260830,15n055109
random_seed_20260830,15n055347
random_seed_20260830,15n055377
random_seed_20260830,15n055395
random_seed_20260830,15n055412
random_seed_20260830,15n055602
random_seed_20260830,15n056215
random_seed_20260830,15n056608
random_seed_20260830,15n057093
random_seed_20260830,15n057679
random_seed_20260830,15n057733
random_seed_20260830,15n057962
random_seed_20260830,15n058010
random_seed_20260830,15n058489
random_seed_20260830,15n059424
random_seed_20260830,15n060856
random_seed_20260830,15n061299
random_seed_20260830,15n062629
random_seed_20260830,15n062696
random_seed_20260830,15n064289
random_seed_20260830,15n068007
random_seed_20260830,15n068021
random_seed_20260830,15n068024
random_seed_20260830,15n068323
random_seed_20260830,15n070370
random_seed_20260830,15n070531
random_seed_20260830,15n078503
random_seed_20260830,15n079290
random_seed_20260830,15n079291
random_seed_20260830,15n079322
random_seed_20260830,15n079817
random_seed_20260830,15n080794
random_seed_20260830,15n082717
random_seed_20260830,15n082934
random_seed_20260830,15n084090
random_seed_20260830,15n084272
random_seed_20260830,15n084300
random_seed_20260830,15n084461
random_seed_20260830,15n085691
random_seed_20260830,15n085695
random_seed_20260830,15n085999
random_seed_20260830,15n086052
random_seed_20260830,15n086622
random_seed_20260830,15n086672
random_seed_20260830,15n087652
random_seed_20260830,15n087971
random_seed_20260830,15n088458
random_seed_20260830,15n089064
random_seed_20260830,15n090366
random_seed_20260830,15n091714
random_seed_20260830,15n092547
random_seed_20260830,15n092754
random_seed_20260830,15n093546
random_seed_20260830,15n093574
random_seed_20260830,15n093740
random_seed_20260830,15n093750
random_seed_20260830,15n094073
random_seed_20260830,15n094893
random_seed_20260830,15n096183
random_seed_20260830,15n096254
random_seed_20260830,15n096700
random_seed_20260830,15n096709
random_seed_20260830,15n097029
random_seed_20260830,15n097264
random_seed_20260830,15n099463
random_seed_20260830,15n099548
random_seed_20260830,15n100130
random_seed_20260830,15n100287
random_seed_20260830,15n100681
random_seed_20260830,15n100702
random_seed_20260830,15n101016
random_seed_20260830,15n101733
random_seed_20260830,15n103051
random_seed_20260830,15n103623
random_seed_20260830,15n104914
random_seed_20260830,15n105794
random_seed_20260830,15n105916
random_seed_20260830,15n105942
random_seed_20260830,15n106007
random_seed_20260830,15n106833
random_seed_20260830,15n107177
random_seed_20260830,15n107223
random_seed_20260830,15n107682
random_seed_20260830,15n108154
random_seed_20260830,15n108315
random_seed_20260830,15n110206
random_seed_20260830,15n110281
random_seed_20260830,15n110459
random_seed_20260830,15n115283
random_seed_20260830,15n115456
random_seed_20260830,15n115820
random_seed_20260830,15n116367
random_seed_20260830,15n116901
random_seed_20260830,15n120002
random_seed_20260830,15n120926
random_seed_20260830,15n121436
random_seed_20260830,15n121457
random_seed_20260830,15n121538
random_seed_20260830,15n122242
random_seed_20260830,15n122445
random_seed_20260830,15n125077
random_seed_20260830,15n125942
random_seed_20260830,15n127273
random_seed_20260830,15n130688
random_seed_20260830,15n133019
random_seed_20260830,15n133040
random_seed_20260830,15n133220
random_seed_20260830,15n133336
random_seed_20260830,15n133702
random_seed_20260830,15n135861
random_seed_20260830,15n135916
random_seed_20260830,15n135963
random_seed_20260830,15n136334
random_seed_20260830,15n137353
random_seed_20260830,15n138128
random_seed_20260830,15n139176
random_seed_20260830,15n139999
random_seed_20260830,15n140176
random_seed_20260830,15n140192
random_seed_20260830,15n140472
random_seed_20260830,15n140484
random_seed_20260830,15n140504
random_seed_20260830,15n140512
random_seed_20260830,15n140525
random_seed_20260830,15n140618
random_seed_20260830,15n140634
random_seed_20260830,15n142168
random_seed_20260830,15n142188
random_seed_20260830,15n142411
random_seed_20260830,15n143607
random_seed_20260830,15n143746
random_seed_20260830,15n147304
random_seed_20260830,15n147459
random_seed_20260830,15n148018
random_seed_20260830,15n148630
random_seed_20260830,15n148674
random_seed_20260830,15n149210
random_seed_20260830,15n150441
random_seed_20260830,15n150829
random_seed_20260830,15n150908
random_seed_20260830,15n150981
random_seed_20260830,15n153400
random_seed_20260830,15n156260
random_seed_20260830,15n156377
random_seed_20260830,15n156616
random_seed_20260830,15n158421
random_seed_20260830,15n158502
random_seed_20260830,15n159643
random_seed_20260830,15n159724
random_seed_20260830,15n159744
random_seed_20260830,15n159774
random_seed_20260830,15n159815
random_seed_20260830,15n160316
random_seed_20260830,15n161008
random_seed_20260830,15n161040
random_seed_20260830,15n161055
random_seed_20260830,15n161192
random_seed_20260830,15n161526
random_seed_20260830,15n163189
random_seed_20260830,15n163276
random_seed_20260830,15n163295
random_seed_20260830,15n163303
random_seed_20260830,15n163322
random_seed_20260830,15n163697
random_seed_20260830,15n163708
random_seed_20260830,15n163769
random_seed_20260830,15n163772
random_seed_20260830,15n164605
random_seed_20260830,15n164606
random_seed_20260830,15n164614
random_seed_20260830,15n164615
random_seed_20260830,15n164618
random_seed_20260830,15n166674
random_seed_20260831,13a3092
random_seed_20260831,13a4878
random_seed_20260831,14n01955
random_seed_20260831,14n04819
random_seed_20260831,14n05024
random_seed_20260831,14n06022
random_seed_20260831,14n06023
random_seed_20260831,14n07507
random_seed_20260831,14n07560
random_seed_20260831,14n08362
